model_name,encoder_name,encoder_weights,in_channels,classes,loss_name,lr,batch_size,num_epochs,img_dir,mask_dir,val_img_dir,val_mask_dir,checkpoint_path,best_iou
Unet,resnet34,imagenet,3,1,dice,0.0001,8,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0463
Unet,resnet34,imagenet,3,1,dice,0.0001,8,50,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0453
Unet,resnet34,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,21.2995
Unet,resnet34,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,25.8111
Unet,resnet34,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,36.4986
Unet,resnet34,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0514
Unet,resnet34,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0598
Unet,resnet50,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0578
Unet,resnet50,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0583
Unet,resnet50,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0604
Unet,resnet50,imagenet,3,1,dice,0.0001,32,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0509
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0037
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0389
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0503
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0667
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0682
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0716
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.073
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0002
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0466
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.0929
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.1506
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.1704
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.1953
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.2214
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.2261
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.2279
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.229
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,20,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.2414
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.089
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.2627
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.2999
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.3446
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.3609
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.376
Unet,resnet50,imagenet,3,1,bce+dice,0.0003,16,40,tiff/train,tiff/train_labels,tiff/val,tiff/val_labels,best_model.pth,0.3777
